Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
11_LV26288	3	2023-08-20 04:58:57	2023-08-20 21:07:12	39.4088583	39.67364	-9.6894283	-9.4325833	16.1375	1556.15	29.39	23.6145833333333	1.19092879867302	21.587375	19.5366769944177
11_LV26288	4	2023-08-21 04:53:18	2023-08-21 20:47:11	39.4140383	39.58282	-9.72198	-9.48247	15.8980555555556	983.05	23.48	23.6842105263158	1.0744930313204	12.9055157894737	16.1982776618335
11_LV26288	5	2023-08-22 04:56:57	2023-08-24 20:56:38	39.40485	40.33017	-9.6090817	-8.8952367	63.9947222222222	30784.63	110.45	23.4511873350923	1.4473538760754	11.6739525065963	16.3325785205525
11_LV26288	6	2023-08-25 05:08:38	2023-08-25 21:12:50	39.313675	39.48301	-9.852855	-9.32199	16.07	1585.71	30.81	23.2916666666667	0.983192080250175	11.4978333333333	14.9564678961921
11_LV26288	7	2023-08-26 04:06:45	2023-08-28 20:45:08	39.1774383	39.598795	-10.093915	-9.1427383	64.6397222222222	7599.52	54.67	21.0238095238095	1.35363320348026	13.2187724867725	16.0080864583968
11_LV26288	8	2023-08-29 01:43:26	2023-08-31 00:12:59	39.2306617	40.2453083	-10.05462	-8.93254	46.4925	17953.33	101.72	20.8933823529412	1.27407891370944	19.8953823529412	18.9302712943481
11_LV26288	9	2023-08-31 04:25:12	2023-09-02 20:15:11	39.40075	40.2871767	-10.2959517	-8.9174	63.8330555555556	22320.27	105.45	21.2117962466488	1.08542159753456	12.8795924932976	15.9373578686523
11_LV26288	10	2023-09-02 22:15:38	2023-09-03 20:06:53	39.1253167	39.42385	-9.6266117	-9.3575917	21.8541666666667	2672.75	33.5	20.7538461538462	0.4832310257112	14.4598461538462	16.9881029079252
11_LV26288	11	2023-09-03 22:29:31	2023-09-04 20:34:00	39.29917	39.8284167	-9.6287567	-9.0793083	22.0747222222222	2884.07	56.96	20.8837209302326	0.594609995300809	17.7016744186047	17.3221829578266
11_LV26288	12	2023-09-04 23:29:14	2023-09-06 20:36:38	39.4045417	40.1081783	-9.5307533	-8.9699683	45.1233333333333	16926.66	86.98	21.3707865168539	0.689044600713487	14.1501123595506	16.4896917894373
12_L078624	1	2023-08-18 05:09:48	2023-08-18 21:14:09	39.0932717	39.4245317	-9.6466517	-9.3835033	16.0725	1936.28	35.51	20.6354166666667	1.05750243664437	12.3080833333333	17.7799699577431
12_L078624	2	2023-08-19 05:23:44	2023-08-19 21:38:03	39.14108	39.41329	-9.6631867	-9.5002233	16.2386111111111	2195.99	33.06	21	0.912870929175277	8.70630927835052	15.4004985940396
12_L078624	3	2023-08-20 05:06:27	2023-08-20 21:02:50	39.053	39.4112283	-9.8358917	-9.5036117	15.9397222222222	2685.69	43.48	21.0736842105263	1.37795798088638	13.5488421052632	19.7485844266819
12_L078624	4	2023-08-21 05:06:53	2023-08-21 20:40:14	39.3208717	39.4140833	-9.6952717	-9.5018767	15.5558333333333	1457.01	18.96	20.9784946236559	0.977780256984688	10.1561290322581	15.3538189154203
12_L078624	5	2023-08-22 05:06:47	2023-08-22 20:40:26	39.0928467	39.41985	-9.835385	-9.504325	15.5608333333333	2044.49	43.78	22.5591397849462	1.74743517383894	14.3778924731183	19.0936850711697
12_L078624	6	2023-08-23 04:54:27	2023-08-23 20:27:55	39.0387433	39.4170133	-9.824345	-9.5031233	15.5577777777778	2908.77	48.62	21.8924731182796	1.28927318243398	10.7137204301075	16.7946746880525
12_L078624	7	2023-08-24 05:16:49	2023-08-25 20:40:18	38.5243883	39.422185	-10.0760033	-9.4236733	39.3913888888889	13747.64	100.74	21.0304347826087	2.40522262587221	19.5426260869565	19.251557189197
