CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
27	06/04/2010 01:06	4	2010	2010	-15.85	24.27	SEL	BREEDING	1	2010-04-06 01:06:00
28	06/04/2010 13:07	4	2010	2010	-16.01	24.49	SEL	BREEDING	1	2010-04-06 13:07:00
29	07/04/2010 01:06	4	2010	2010	-15.8	25.4	SEL	BREEDING	1	2010-04-07 01:06:00
30	07/04/2010 13:06	4	2010	2010	-15.83	24.89	SEL	BREEDING	1	2010-04-07 13:06:00
31	08/04/2010 01:03	4	2010	2010	-15.24	26.41	SEL	BREEDING	1	2010-04-08 01:03:00
32	08/04/2010 12:59	4	2010	2010	-14.15	23.92	SEL	BREEDING	1	2010-04-08 12:59:00
33	09/04/2010 01:02	4	2010	2010	-16.68	18.38	SEL	BREEDING	1	2010-04-09 01:02:00
34	09/04/2010 13:07	4	2010	2010	-16.22	18.86	SEL	BREEDING	1	2010-04-09 13:07:00
35	10/04/2010 01:06	4	2010	2010	-16.01	22.58	SEL	BREEDING	1	2010-04-10 01:06:00
36	10/04/2010 13:00	4	2010	2010	-16.28	18.68	SEL	BREEDING	1	2010-04-10 13:00:00
37	11/04/2010 00:55	4	2010	2010	-19.58256	17.13558	SEL	BREEDING	1	2010-04-11 00:55:00
38	11/04/2010 12:56	4	2010	2010	-19.74256	20.10558	SEL	BREEDING	1	2010-04-11 12:56:00
39	12/04/2010 00:53	4	2010	2010	-19.15256	21.59558	SEL	BREEDING	1	2010-04-12 00:53:00
40	12/04/2010 12:54	4	2010	2010	-19.31256	22.99558	SEL	BREEDING	1	2010-04-12 12:54:00
41	13/04/2010 00:52	4	2010	2010	-17.815	24.8075	SEL	BREEDING	1	2010-04-13 00:52:00
42	13/04/2010 12:58	4	2010	2010	-14.23	28.74	SEL	BREEDING	1	2010-04-13 12:58:00
43	14/04/2010 00:58	4	2010	2010	-14.39	30.72	SEL	BREEDING	1	2010-04-14 00:58:00
44	14/04/2010 13:03	4	2010	2010	-15.55	31.67	SEL	BREEDING	1	2010-04-14 13:03:00
45	15/04/2010 01:03	4	2010	2010	-15.7	33.41	SEL	BREEDING	1	2010-04-15 01:03:00
46	15/04/2010 12:59	4	2010	2010	-14.61	30.85	SEL	BREEDING	1	2010-04-15 12:59:00
47	16/04/2010 01:03	4	2010	2010	-15.64	26.77	SEL	BREEDING	1	2010-04-16 01:03:00
48	16/04/2010 13:06	4	2010	2010	-16.42	25.44	SEL	BREEDING	1	2010-04-16 13:06:00
49	17/04/2010 01:04	4	2010	2010	-15.95	27.9	SEL	BREEDING	1	2010-04-17 01:04:00
50	17/04/2010 13:04	4	2010	2010	-16.1	28.87	SEL	BREEDING	1	2010-04-17 13:04:00
51	18/04/2010 01:01	4	2010	2010	-15.38	30.21	SEL	BREEDING	1	2010-04-18 01:01:00
52	18/04/2010 13:00	4	2010	2010	-15.03	30.27	SEL	BREEDING	1	2010-04-18 13:00:00
53	19/04/2010 01:15	4	2010	2010	-19.06	20.89	SEL	BREEDING	1	2010-04-19 01:15:00
