latitude,longitude,id,timestamp
36.9631517,-7.8843567,3,2024-05-03 01:47:46
36.963165,-7.884395,3,2024-05-03 01:52:49
36.9631067,-7.88427,3,2024-05-03 01:57:54
36.9631217,-7.88442,3,2024-05-03 02:02:57
36.9630783,-7.8843867,3,2024-05-03 02:08:01
36.9631933,-7.8843983,3,2024-05-03 02:13:04
36.96303,-7.88429,3,2024-05-03 02:18:08
36.9631183,-7.88435,3,2024-05-03 02:23:11
36.9630867,-7.884335,3,2024-05-03 02:28:14
36.9631083,-7.8842833,3,2024-05-03 02:33:20
36.9631517,-7.8843783,3,2024-05-03 02:38:25
36.963115,-7.88434,3,2024-05-03 02:43:28
36.9630883,-7.8843617,3,2024-05-03 02:48:31
36.9630917,-7.8842717,3,2024-05-03 02:53:34
36.9631133,-7.8842283,3,2024-05-03 02:58:38
36.9631583,-7.8843783,3,2024-05-03 03:03:49
36.9630967,-7.884185,3,2024-05-03 03:08:53
36.963125,-7.8843333,3,2024-05-03 03:14:36
36.9631367,-7.8843467,3,2024-05-03 03:19:40
36.9630933,-7.88433,3,2024-05-03 03:24:44
36.963055,-7.88439,3,2024-05-03 03:29:48
36.9630917,-7.884335,3,2024-05-03 03:34:51
36.9631167,-7.88434,3,2024-05-03 03:39:54
36.9630767,-7.8842617,3,2024-05-03 03:44:57
36.963085,-7.8843017,3,2024-05-03 03:50:01
36.9630067,-7.8843917,3,2024-05-03 03:55:04
36.9631617,-7.88436,3,2024-05-03 04:00:07
36.9631083,-7.8842883,3,2024-05-03 04:05:10
36.96308,-7.88424,3,2024-05-03 04:10:16
36.9606717,-7.883945,3,2024-05-03 04:15:20
36.9629233,-7.88439,3,2024-05-03 04:20:23
36.96291,-7.8843283,3,2024-05-03 04:25:27
36.963055,-7.884345,3,2024-05-03 04:30:31
36.9631633,-7.8843667,3,2024-05-03 04:35:35
36.9630967,-7.8842933,3,2024-05-03 04:40:38
36.96309,-7.88428,3,2024-05-03 04:45:42
36.963055,-7.8842617,3,2024-05-03 04:50:46
36.9631383,-7.8843967,3,2024-05-03 04:55:50
36.9631383,-7.8843783,3,2024-05-03 05:00:53
36.9631133,-7.8843317,3,2024-05-03 05:05:56
36.9630833,-7.8843133,3,2024-05-03 05:11:02
36.9631233,-7.8843017,3,2024-05-03 05:16:45
36.9631533,-7.884265,3,2024-05-03 05:21:49
36.96317,-7.8843067,3,2024-05-03 05:26:53
36.9631417,-7.8842883,3,2024-05-03 05:31:58
36.963165,-7.8842883,3,2024-05-03 05:37:02
36.9631117,-7.8842533,3,2024-05-03 05:42:06
36.96316,-7.8842083,3,2024-05-03 05:47:13
36.9631833,-7.8841667,3,2024-05-03 05:52:19
36.963135,-7.8842567,3,2024-05-03 05:57:25
36.962865,-7.8845483,3,2024-05-03 06:02:34
36.9631533,-7.88419,3,2024-05-03 06:07:39
36.963095,-7.8843033,3,2024-05-03 06:12:44
36.963085,-7.884285,3,2024-05-03 06:17:47
36.96313,-7.884215,3,2024-05-03 06:22:53
36.9631367,-7.88421,3,2024-05-03 06:27:58
36.96311,-7.8842467,3,2024-05-03 06:33:03
36.9631217,-7.8841733,3,2024-05-03 06:38:08
36.9631383,-7.8841417,3,2024-05-03 06:43:14
36.9631783,-7.883815,3,2024-05-03 06:48:17
36.9631283,-7.8842683,3,2024-05-03 06:53:23
36.9630783,-7.884335,3,2024-05-03 06:58:26
36.9631,-7.8842317,3,2024-05-03 07:03:33
36.963105,-7.8841983,3,2024-05-03 07:08:39
36.9630817,-7.8842483,3,2024-05-03 07:13:45
36.9631283,-7.8843417,3,2024-05-03 07:19:28
36.9630417,-7.8842183,3,2024-05-03 07:24:31
36.9631083,-7.8843267,3,2024-05-03 07:29:36
36.9630733,-7.884355,3,2024-05-03 07:34:41
36.9631533,-7.8844067,3,2024-05-03 07:39:47
36.9631667,-7.884405,3,2024-05-03 07:44:52
36.9630817,-7.884315,3,2024-05-03 07:49:58
36.9631017,-7.8843733,3,2024-05-03 07:55:04
36.9630867,-7.8843333,3,2024-05-03 08:00:10
36.96317,-7.8844083,3,2024-05-03 08:05:15
36.963145,-7.8843817,3,2024-05-03 08:10:20
36.9631917,-7.88442,3,2024-05-03 08:15:25
36.9631783,-7.88435,3,2024-05-03 08:20:29
36.9631533,-7.8843867,3,2024-05-03 08:25:34
36.96318,-7.884395,3,2024-05-03 08:30:39
36.9631067,-7.8843583,3,2024-05-03 08:35:44
36.9631267,-7.885075,3,2024-05-03 08:40:50
36.96316,-7.884735,3,2024-05-03 08:45:57
36.9631083,-7.8843333,3,2024-05-03 08:51:02
36.9631633,-7.8844367,3,2024-05-03 08:56:08
36.9631383,-7.8844383,3,2024-05-03 09:01:14
36.9631183,-7.8843483,3,2024-05-03 09:06:19
36.963105,-7.88445,3,2024-05-03 09:11:24
36.9631483,-7.8843433,3,2024-05-03 09:16:29
36.96311,-7.8843833,3,2024-05-03 09:28:05
36.963035,-7.8843533,3,2024-05-03 09:33:09
36.963125,-7.884405,3,2024-05-03 09:38:13
36.9630383,-7.8844533,3,2024-05-03 09:43:16
36.963215,-7.8846317,3,2024-05-03 09:48:19
36.9630067,-7.8844583,3,2024-05-03 09:53:24
36.9630817,-7.88436,3,2024-05-03 09:58:28
36.963155,-7.8844083,3,2024-05-03 10:03:33
36.9631883,-7.8844583,3,2024-05-03 10:08:37
36.9631617,-7.88464,3,2024-05-03 10:13:40
36.9632467,-7.8845467,3,2024-05-03 10:18:44
36.9631967,-7.8845433,3,2024-05-03 10:23:48
36.963245,-7.88448,3,2024-05-03 10:28:51
36.9635017,-7.8847117,3,2024-05-03 10:33:55
36.9631033,-7.8842667,3,2024-05-03 10:38:58
36.963245,-7.8845017,3,2024-05-03 10:44:05
36.9631167,-7.88436,3,2024-05-03 10:49:08
36.96316,-7.8843833,3,2024-05-03 10:54:13
36.9631467,-7.8844617,3,2024-05-03 10:59:18
36.96307,-7.8843467,3,2024-05-03 11:10:53
36.9630833,-7.8843933,3,2024-05-03 14:23:50
36.9630983,-7.884275,3,2024-05-03 14:35:25
36.9631417,-7.884375,3,2024-05-03 14:47:01
36.96321,-7.8838967,3,2024-05-03 14:52:04
36.9631133,-7.88435,3,2024-05-03 14:57:07
36.9631317,-7.8843733,3,2024-05-03 15:02:12
36.9631533,-7.8843333,3,2024-05-03 15:39:54
36.963105,-7.88436,3,2024-05-03 15:51:28
36.963155,-7.8843683,3,2024-05-03 16:03:03
36.9631383,-7.8842767,3,2024-05-03 16:08:07
36.9631533,-7.88446,3,2024-05-03 16:13:10
36.963145,-7.8843283,3,2024-05-03 16:18:13
36.9631333,-7.88437,3,2024-05-03 16:23:17
36.9630817,-7.8843917,3,2024-05-03 16:28:21
36.9631767,-7.8843217,3,2024-05-03 16:33:24
36.9631517,-7.8842983,3,2024-05-03 16:38:27
36.9631567,-7.88432,3,2024-05-03 16:43:32
36.9612667,-7.8839067,3,2024-05-03 16:48:38
36.9615717,-7.8841967,3,2024-05-03 16:53:43
36.9630783,-7.8845933,3,2024-05-03 16:58:49
36.9631017,-7.8843667,3,2024-05-03 17:03:54
36.9631183,-7.8843533,3,2024-05-03 17:08:59
36.96314,-7.884275,3,2024-05-03 17:14:02
36.963045,-7.8843817,3,2024-05-03 17:19:09
36.9631317,-7.8842967,3,2024-05-03 17:24:14
36.9629767,-7.8843783,3,2024-05-03 17:29:22
36.9630967,-7.884345,3,2024-05-03 17:34:28
36.9631267,-7.8843183,3,2024-05-03 17:40:11
36.963105,-7.8843433,3,2024-05-03 17:45:14
36.963215,-7.8844033,3,2024-05-03 17:50:16
36.963105,-7.8843283,3,2024-05-03 17:55:20
36.9631017,-7.884425,3,2024-05-03 18:00:23
36.9631567,-7.884295,3,2024-05-03 18:05:27
36.9630767,-7.8843383,3,2024-05-03 18:10:31
36.9630233,-7.8843733,3,2024-05-03 18:15:35
36.9630217,-7.88435,3,2024-05-03 18:20:39
36.9630967,-7.8843783,3,2024-05-03 18:25:45
36.9630967,-7.8843083,3,2024-05-03 18:30:48
36.963025,-7.884445,3,2024-05-03 18:35:52
36.9631,-7.8843617,3,2024-05-03 18:40:55
36.9630583,-7.8843833,3,2024-05-03 18:45:58
36.96307,-7.884485,3,2024-05-03 18:51:02
36.963105,-7.8844367,3,2024-05-03 18:56:06
36.96312,-7.884375,3,2024-05-03 19:01:09
36.96309,-7.8844483,3,2024-05-03 19:06:12
36.9631283,-7.88441,3,2024-05-03 19:11:15
36.963095,-7.8843383,3,2024-05-03 19:16:20
36.9631633,-7.8844433,3,2024-05-03 19:21:24
36.963105,-7.8843717,3,2024-05-03 19:26:28
36.9631083,-7.8843683,3,2024-05-03 19:31:33
36.9630533,-7.8843033,3,2024-05-03 19:36:38
36.9630783,-7.8843567,3,2024-05-03 19:42:21
36.96318,-7.884435,3,2024-05-03 19:47:24
36.9630683,-7.884355,3,2024-05-03 19:52:27
36.9630617,-7.8843483,3,2024-05-03 19:57:32
36.963105,-7.884375,3,2024-05-03 20:02:35
36.9631067,-7.884355,3,2024-05-03 20:07:40
36.96311,-7.8843517,3,2024-05-03 20:12:45
36.9630767,-7.8843417,3,2024-05-03 20:17:49
36.963095,-7.88436,3,2024-05-03 20:22:54
36.96309,-7.8843633,3,2024-05-03 20:27:59
36.9631033,-7.884375,3,2024-05-03 20:33:03
36.9631083,-7.8843683,3,2024-05-03 20:38:07
36.9631217,-7.884325,3,2024-05-03 20:43:12
36.9631517,-7.8843533,3,2024-05-03 20:48:16
36.9631,-7.8843383,3,2024-05-03 20:53:21
36.9630917,-7.8843483,3,2024-05-03 20:58:25
36.96308,-7.8843167,3,2024-05-03 21:03:29
36.9631317,-7.884355,3,2024-05-03 21:08:35
36.9631283,-7.884315,3,2024-05-03 21:13:39
36.9631017,-7.8842833,3,2024-05-03 21:18:44
36.96314,-7.884345,3,2024-05-03 21:23:48
36.9630883,-7.88435,3,2024-05-03 21:28:53
36.9630883,-7.8843233,3,2024-05-03 21:33:57
36.9630783,-7.8843683,3,2024-05-03 21:39:03
36.9631067,-7.884365,3,2024-05-03 21:44:46
36.9631433,-7.8842917,3,2024-05-03 21:49:49
36.963205,-7.88422,3,2024-05-03 21:54:52
36.963135,-7.8843417,3,2024-05-03 21:59:55
36.9631217,-7.8843333,3,2024-05-03 22:05:00
36.9630133,-7.8842483,3,2024-05-03 22:10:03
36.9630983,-7.8843683,3,2024-05-03 22:15:06
36.9631033,-7.8843633,3,2024-05-03 22:20:09
36.9631467,-7.8843767,3,2024-05-03 22:25:15
36.9624433,-7.8834467,3,2024-05-03 22:30:25
36.9631633,-7.8844017,3,2024-05-03 22:35:30
36.9631767,-7.88443,3,2024-05-03 22:40:37
36.963205,-7.88438,3,2024-05-03 22:45:41
36.9631633,-7.8844283,3,2024-05-03 22:50:47
36.96323,-7.8844967,3,2024-05-03 22:55:53
36.9632133,-7.8844517,3,2024-05-03 23:01:00
36.9632067,-7.884415,3,2024-05-03 23:06:05
36.9631583,-7.8845217,3,2024-05-03 23:11:11
36.9632367,-7.8844217,3,2024-05-03 23:16:16
36.96321,-7.8843933,3,2024-05-03 23:21:22
36.9631433,-7.8843633,3,2024-05-03 23:26:28
36.9630867,-7.8843,3,2024-05-03 23:31:35
36.9610017,-7.884225,3,2024-05-03 23:36:41
36.96115,-7.88448,3,2024-05-03 23:41:47
36.961355,-7.88489,3,2024-05-03 23:47:30
36.9670683,-7.8860633,3,2024-05-03 23:52:34
36.96438,-7.8859067,3,2024-05-03 23:57:37
36.9617217,-7.8827633,3,2024-05-04 00:02:42
36.9610033,-7.8849533,3,2024-05-04 00:07:46
36.9616717,-7.8841833,3,2024-05-04 00:12:49
36.961175,-7.8847733,3,2024-05-04 00:17:53
36.9610617,-7.8849383,3,2024-05-04 00:22:58
