Id,Dategmt,Longitude,Latitude,Bird_id,
106,2023-05-07 13:24:00,-6.472398,36.932533,220729,
107,2023-05-07 13:29:00,-6.472449,36.932632,220729,
108,2023-05-07 13:34:00,-6.472669,36.932682,220729,
109,2023-05-07 13:39:00,-6.472543,36.932655,220729,
110,2023-05-07 13:45:00,-6.472616,36.932644,220729,
111,2023-05-07 13:49:00,-6.4726,36.932663,220729,
112,2023-05-07 13:54:00,-6.472702,36.932667,220729,
113,2023-05-07 13:59:00,-6.472715,36.932816,220729,
114,2023-05-07 14:37:20,-6.472742,36.932842,220729,
115,2023-05-07 14:42:20,-6.472909,36.932915,220729,
116,2023-05-07 14:14:00,-6.472851,36.932861,220729,
117,2023-05-07 14:19:00,-6.472785,36.9328,220729,
118,2023-05-07 14:24:00,-6.472748,36.932899,220729,
119,2023-05-07 14:29:00,-6.47297,36.932911,220729,
120,2023-05-07 14:34:00,-6.472814,36.932846,220729,
121,2023-05-07 14:39:00,-6.472819,36.932888,220729,
122,2023-05-07 14:44:00,-6.472795,36.932854,220729,
123,2023-05-07 14:49:00,-6.472884,36.932865,220729,
124,2023-05-07 14:54:00,-6.472826,36.93285,220729,
125,2023-05-07 14:59:00,-6.472855,36.93306,220729,
126,2023-05-07 15:38:20,-6.472937,36.933083,220729,
127,2023-05-07 15:42:20,-6.472988,36.93314,220729,
128,2023-05-07 15:14:00,-6.472977,36.933128,220729,
129,2023-05-07 15:19:00,-6.472963,36.933117,220729,
130,2023-05-07 15:24:00,-6.472959,36.933128,220729,
131,2023-05-07 15:29:00,-6.472984,36.933102,220729,
132,2023-05-07 15:34:00,-6.473045,36.933128,220729,
133,2023-05-07 15:39:00,-6.472988,36.933147,220729,
134,2023-05-07 15:44:00,-6.473004,36.933117,220729,
135,2023-05-07 15:49:00,-6.47298,36.933151,220729,
136,2023-05-07 15:54:00,-6.472979,36.933098,220729,
137,2023-05-07 15:59:00,-6.472993,36.933109,220729,
138,2023-05-07 16:37:20,-6.472967,36.933182,220729,
139,2023-05-07 16:42:20,-6.472089,36.933239,220729,
140,2023-05-07 16:14:00,-6.472382,36.93259,220729,
141,2023-05-07 16:19:00,-6.474834,36.934963,220729,
