Id,Dategmt,Longitude,Latitude,Bird_id
92,2018-08-21 17:58:00,-35.840748,46.069145,L078288
93,2018-08-21 18:08:00,-35.833439,46.06889,L078288
94,2018-08-21 18:18:00,-35.833698,46.068989,L078288
95,2018-08-21 18:28:00,-35.833546,46.069534,L078288
96,2018-08-21 18:38:00,-35.833584,46.070007,L078288
97,2018-08-21 18:49:00,-35.833714,46.070431,L078288
98,2018-08-21 18:59:00,-35.834209,46.070736,L078288
99,2018-08-21 19:09:00,-35.854076,46.081306,L078288
100,2018-08-21 19:19:00,-35.887997,46.100563,L078288
101,2018-08-21 19:29:00,-35.905441,46.116238,L078288
102,2018-08-21 19:38:00,-35.913589,46.119232,L078288
103,2018-08-21 19:48:00,-35.892185,46.109035,L078288
104,2018-08-21 19:59:00,-35.854233,46.118256,L078288
105,2018-08-21 20:09:00,-35.832199,46.133133,L078288
106,2018-08-21 20:19:00,-35.833397,46.133888,L078288
107,2018-08-21 20:30:00,-35.83535,46.13475,L078288
108,2018-08-21 20:40:00,-35.83736,46.135738,L078288
109,2018-08-21 20:50:00,-35.838993,46.136768,L078288
110,2018-08-21 21:01:00,-35.840508,46.137756,L078288
111,2018-08-21 21:11:00,-35.841808,46.138954,L078288
112,2018-08-21 21:22:00,-35.83733,46.143993,L078288
113,2018-08-21 21:34:00,-35.890549,46.160793,L078288
114,2018-08-21 21:44:00,-35.899654,46.150715,L078288
115,2018-08-21 21:54:00,-35.908653,46.163593,L078288
116,2018-08-21 22:04:00,-35.925194,46.169243,L078288
117,2018-08-21 22:14:00,-35.932514,46.167572,L078288
118,2018-08-21 22:25:00,-35.932491,46.16811,L078288
119,2018-08-21 22:36:00,-35.933098,46.168758,L078288
120,2018-08-21 22:46:00,-35.933189,46.169514,L078288
121,2018-08-21 22:57:00,-35.933258,46.170162,L078288
122,2018-08-21 23:07:00,-35.933208,46.170769,L078288
123,2018-08-21 23:17:00,-35.933147,46.171333,L078288
124,2018-08-21 23:27:00,-35.933079,46.171818,L078288
125,2018-08-21 23:38:00,-35.932625,46.167892,L078288
126,2018-08-21 23:48:00,-35.919846,46.125237,L078288
127,2018-08-21 23:59:00,-35.897175,46.072609,L078288
128,2018-08-22 00:13:00,-35.862507,46.003288,L078288
129,2018-08-22 00:31:00,-35.827316,45.924015,L078288
130,2018-08-22 00:51:00,-35.784439,45.832489,L078288
131,2018-08-22 01:12:00,-35.714451,45.746223,L078288
132,2018-08-22 01:23:00,-35.690189,45.703735,L078288
133,2018-08-22 01:33:00,-35.664646,45.658375,L078288
134,2018-08-22 01:43:00,-35.636261,45.616062,L078288
135,2018-08-22 01:53:00,-35.602177,45.579666,L078288
136,2018-08-22 02:04:00,-35.596786,45.575172,L078288
137,2018-08-22 02:14:00,-35.599033,45.577011,L078288
138,2018-08-22 02:24:00,-35.600838,45.578743,L078288
139,2018-08-22 02:35:00,-35.603687,45.581356,L078288
140,2018-08-22 02:45:00,-35.605671,45.583652,L078288
141,2018-08-22 02:56:00,-35.607353,45.585995,L078288
142,2018-08-22 03:08:00,-35.609383,45.588886,L078288
143,2018-08-22 03:20:00,-35.611118,45.591984,L078288
144,2018-08-22 03:30:00,-35.612206,45.594631,L078288
145,2018-08-22 03:40:00,-35.612869,45.597282,L078288
146,2018-08-22 03:50:00,-35.613243,45.599926,L078288
147,2018-08-22 04:00:00,-35.613312,45.602634,L078288
148,2018-08-22 04:10:00,-35.613407,45.605499,L078288
149,2018-08-22 04:20:00,-35.613262,45.608315,L078288
150,2018-08-22 04:30:00,-35.612869,45.610905,L078288
151,2018-08-22 04:40:00,-35.611851,45.613338,L078288
152,2018-08-22 04:51:00,-35.610531,45.615772,L078288
153,2018-08-22 05:01:00,-35.608383,45.618065,L078288
154,2018-08-22 05:11:00,-35.60614,45.620438,L078288
155,2018-08-22 05:21:00,-35.603756,45.622509,L078288
156,2018-08-22 05:32:00,-35.601097,45.624546,L078288
157,2018-08-22 05:42:00,-35.598576,45.626579,L078288
158,2018-08-22 05:52:00,-35.59605,45.628448,L078288
159,2018-08-22 06:02:00,-35.593269,45.63023,L078288
160,2018-08-22 06:12:00,-35.590351,45.631813,L078288
161,2018-08-22 06:22:00,-35.587727,45.633442,L078288
162,2018-08-22 06:32:00,-35.577061,45.632416,L078288
163,2018-08-22 06:42:00,-35.551422,45.622913,L078288
164,2018-08-22 06:52:00,-35.519268,45.590225,L078288
